port_a,port_b,lag,corr,pval,pval_corrected
Busan,Kaohsiung,9,0.0205,0.2983,0.7578586437440307
Busan,Kaohsiung,10,0.0204,0.299,0.758550309966619
Busan,Kaohsiung,11,0.0025,0.8984,0.9820615258408532
Busan,Kaohsiung,12,-0.0512,0.0093,0.17179166666666665
Busan,Kaohsiung,13,-0.0154,0.433,0.8331139240506329
Busan,Kaohsiung,14,0.0084,0.67,0.9257159179433915
Busan,Kobe,1,0.0586,0.0028,0.07374257425742574
Busan,Kobe,2,0.0465,0.0178,0.2472480417754569
Busan,Kobe,3,0.0164,0.4038,0.8217009560229445
Busan,Kobe,4,-0.0318,0.1057,0.532
Busan,Kobe,5,-0.0138,0.484,0.8608759612169843
Busan,Kobe,6,-0.0017,0.9293,0.9874707520891364
Busan,Kobe,7,-0.0018,0.9281,0.9874707520891364
Busan,Kobe,8,0.0163,0.4083,0.8225461393596986
Busan,Kobe,9,0.0343,0.0812,0.4886696832579185
Busan,Kobe,10,0.0102,0.6048,0.9071147448548068
Busan,Kobe,11,-0.02,0.3106,0.7681971176197118
Busan,Kobe,12,-0.026,0.1864,0.6580646864686469
Busan,Kobe,13,-0.014,0.4773,0.8566923076923076
Busan,Kobe,14,-0.008,0.6847,0.930151569277877
Busan,Mizushima,1,0.0964,0.0,0.0
Busan,Mizushima,2,0.0157,0.4256,0.8299355783308932
Busan,Mizushima,3,-0.003,0.8785,0.9796734013747136
Busan,Mizushima,4,-0.0217,0.2704,0.7285384615384616
Busan,Mizushima,5,-0.0093,0.6373,0.9164693822497976
Busan,Mizushima,6,-0.0093,0.6364,0.9164693822497976
Busan,Mizushima,7,-0.0155,0.4296,0.8310807272727273
Busan,Mizushima,8,0.0093,0.6371,0.9164693822497976
Busan,Mizushima,9,0.0093,0.6381,0.9164693822497976
Busan,Mizushima,10,-0.0094,0.6326,0.9158847199564981
Busan,Mizushima,11,-0.0281,0.1538,0.6138154538634658
Busan,Mizushima,12,-0.0219,0.2662,0.7281869542886492
Busan,Mizushima,13,0.0216,0.2733,0.7339505300353357
Busan,Mizushima,14,0.0091,0.6435,0.9173098666666666
Busan,Nagoya,1,0.1207,0.0,0.0
Busan,Nagoya,2,0.0678,0.0006,0.0228
Busan,Nagoya,3,0.0083,0.673,0.9267450980392158
Busan,Nagoya,4,-0.0036,0.8534,0.977835020460909
Busan,Nagoya,5,0.032,0.1032,0.52689443378119
Busan,Nagoya,6,0.0023,0.9085,0.9833939393939395
Busan,Nagoya,7,0.0022,0.9097,0.9836818181818182
Busan,Nagoya,8,0.0022,0.9109,0.9836818181818182
Busan,Nagoya,9,0.0319,0.1047,0.5294762808349146
Busan,Nagoya,10,0.014,0.4755,0.856350710900474
Busan,Nagoya,11,-0.0276,0.1603,0.6248087591240875
Busan,Nagoya,12,-0.0039,0.8444,0.9757170056252704
Busan,Nagoya,13,0.0259,0.1891,0.6609802890932982
